slug;name;letter;category;teaser;body;example;synonyms;related;source
auto-klassifizierung;Auto-Klassifizierung;A;Tools & Anwendungen;Automatische Einordnung von Daten wie Texten oder Bildern in vordefinierte Kategorien durch ein KI-Modell.;"Auto-Klassifizierung ist der Prozess, bei dem KI oder maschinelles Lernen verwendet wird, um Daten automatisch in vordefinierte Kategorien einzuordnen. Ein System analysiert Merkmale der Daten und weist sie anhand eines vorab trainierten Modells der passenden Kategorie zu (z. B. E-Mail-Filter: Spam / Nicht-Spam).

Schritte: Datenvorbereitung → Merkmalsextraktion → Training → Kategorisierung → Optimierung. Vorteile: Zeiteffizienz, Kostensenkung, Präzision, Skalierbarkeit (von wenigen bis zu Millionen von Dokumenten) und Anpassungsfähigkeit an neue Kategorien.

Anwendungsbereiche: E-Mail-Filter (Gmail), Content-Management, medizinische Diagnostik, Finanzanalyse, Kundendienst. Auto-Klassifizierung ist eine Kerntechnologie in modernen Datenverarbeitungssystemen.";Ein System sortiert eingehende Kundenmails automatisch in die Kategorien Beschwerde, Anfrage und Bestellung.;"[""Auto-Klassifizierung"",""Autoklassifizierung"",""automatische Klassifizierung"",""Auto-Classification""]";"[""accuracy-genauigkeit"",""ueberwachtes-lernen"",""mustererkennung"",""sentiment-analyse""]";https://ki-manager-methoden.lovable.app/glossar
baseline-ausgangswert-messung;Baseline / Ausgangswert-Messung;B;Methoden & Frameworks;Grundsatz, Ausgangswerte vor der KI-Einführung zu messen, um Nutzen später belegen zu können.;Grundsatz, Ausgangswerte vor der KI-Einführung zu messen, um Nutzen später belegen zu können.;Vor Einführung eines KI-Assistenten wird die durchschnittliche Bearbeitungszeit pro Anfrage erfasst, um später die Ersparnis zu belegen.;"[""Baseline"",""Ausgangswert-Messung"",""Ausgangswert"",""Basiswert"",""Nullmessung""]";"[""messbarkeit-des-erfolgs"",""kpi-messung"",""roi-return-on-investment"",""kpi-key-performance-indicator""]";
auto-vervollstaendigung;Auto-Vervollständigung;A;Tools & Anwendungen;KI-gestützte Vorhersage und Ergänzung von Eingaben wie Text oder Code auf Basis wahrscheinlicher Fortsetzungen.;"Auto-Vervollständigung ist eine Funktion, die Texteingaben durch Vorschläge für Wörter, Phrasen oder ganze Sätze ergänzt. Sie basiert auf Algorithmen, die Muster im Schreibstil und Kontext analysieren, um präzise Vorhersagen zu treffen. Typen: Wort-Vervollständigung, Satz-Vervollständigung, Code-Vervollständigung.

Technologische Grundlage: Natural Language Processing (NLP), neuronale Netzwerke (GPT, BERT), Transformer-Modelle und Cloud-Integration. Das System wird mit riesigen Datensätzen trainiert und nutzt prädiktive Analyse zur Bestimmung wahrscheinlichster Fortsetzungen.

Anwendungsbereiche: Textverarbeitung (Google Docs, Word), E-Mail-Plattformen (Gmail Smart Compose), Suchmaschinen, Entwicklungsumgebungen (GitHub Copilot) und Messenger-Apps.";Eine Entwicklungsumgebung schlägt beim Programmieren automatisch die nächste Codezeile vor.;"[""Auto-Vervollständigung"",""Autovervollständigung"",""Autocomplete"",""automatische Vervollständigung""]";"[""wahrscheinlichkeitsbasierte-vorhersage"",""github-copilot"",""programmierunterstuetzung"",""large-language-model-grosses-sprachmodell""]";https://ki-manager-methoden.lovable.app/glossar
automatisierung-vs-ki;Automatisierung (vs. KI);A;Technik & Daten;Abgrenzung zwischen einfacher regelbasierter Wenn-Dann-Logik und lernender, wahrscheinlichkeitsbasierter KI.;Abgrenzung zwischen einfacher regelbasierter Wenn-Dann-Logik und lernender, wahrscheinlichkeitsbasierter KI.;"Für die feste Weiterleitung von Rechnungen genügt eine Regel; erst die inhaltliche Prüfung uneinheitlicher Dokumente rechtfertigt KI.";"[""Automatisierung vs. KI"",""Automatisierung gegen KI"",""regelbasierte Automatisierung"",""Automatisierung und KI""]";"[""ki-vs-automatisierung"",""rpa-robotic-process-automation"",""halluzination"",""ki-vs-klassische-software""]";
automatisierungstools;Automatisierungstools;A;KI-Grundlagen;KI- und Workflow-Kategorie, die Prozessschritte orchestriert und flexibel auf Eingaben reagiert.;KI- und Workflow-Kategorie, die Prozessschritte orchestriert und flexibel auf Eingaben reagiert.;Mit n8n verbindet ein Team Postfach, KI-Modell und CRM, sodass Anfragen automatisch analysiert und eingetragen werden.;"[""Automatisierungstools"",""Automatisierungswerkzeuge"",""Workflow-Tools"",""Automation Tools""]";"[""n8n"",""orchestrierung"",""rpa-robotic-process-automation"",""ki-gestuetzte-automatisierung"",""webhook""]";
av-vertrag-auftragsverarbeitung;AV-Vertrag (Auftragsverarbeitung);A;Recht & Regulatorik;"Vertrag zur Auftragsverarbeitung personenbezogener Daten; sein Fehlen ist ein Datenschutz-Warnsignal bei KI-Tools.";"Vertrag zur Auftragsverarbeitung personenbezogener Daten; sein Fehlen ist ein Datenschutz-Warnsignal bei KI-Tools.";Ein kostenloses KI-Tool bietet keinen AV-Vertrag, weshalb das Unternehmen es für personenbezogene Daten nicht einsetzt.;"[""AV-Vertrag"",""Auftragsverarbeitung"",""AVV"",""Auftragsverarbeitungsvertrag"",""Data Processing Agreement""]";"[""auftragsverarbeitungsvertrag-avv"",""dsgvo"",""us-cloud-act"",""datenschutz-als-querschnittsthema""]";
back-propagation-rueckpropagierung;Back Propagation (Rückpropagierung);B;Technik & Daten;Lernverfahren neuronaler Netze, das den Vorhersagefehler rückwärts durch das Netz leitet und die Gewichte anpasst.;"Back Propagation ist ein Algorithmus zum Training neuronaler Netze. Er berechnet die Gradienten der Verlustfunktion in Bezug auf die Gewichte im Netzwerk. Nach einer Vorwärtspropagierung (Forward Pass) wird der Fehler durch das Netzwerk zurückgeleitet und die Gewichte werden entsprechend angepasst.

Rückpropagierung ist das Fundament des modernen Deep Learnings: Ohne diesen Algorithmus wäre das effiziente Training mehrschichtiger neuronaler Netzwerke nicht möglich. Sie arbeitet in Kombination mit Optimierungsverfahren wie dem Gradientenabstieg.

Der Prozess läuft iterativ: Forward Pass → Fehlerberechnung (Loss Function) → Backward Pass (Gradienten berechnen) → Gewichte aktualisieren. Jede Trainingsrunde verbessert das Modell schrittweise.";Ein Bilderkennungsnetz verringert über viele Trainingsdurchläufe mittels Rückpropagierung schrittweise seine Fehlklassifikationen.;"[""Back Propagation"",""Backpropagation"",""Rückpropagierung"",""Fehlerrückführung"",""Rückwärtspropagierung""]";"[""neuronales-netzwerk"",""gradient-descent-gradientenabstieg"",""forward-propagation-vorwaertspropagierung"",""deep-learning"",""gewichte-gewichtung""]";https://ki-manager-methoden.lovable.app/glossar
backlog;Backlog;B;Management & Strategie;Dokumentierte Liste geparkter Use Cases, die später bei geänderten Rahmenbedingungen wieder aufgegriffen werden.;Dokumentierte Liste geparkter Use Cases, die später bei geänderten Rahmenbedingungen wieder aufgegriffen werden.;Ein Use Case wird wegen fehlender Datenqualität in den Backlog verschoben und ein Jahr später erneut geprüft.;"[""Backlog"",""Rückstandsliste"",""Product Backlog"",""Aufgabenspeicher""]";"[""use-case-radar"",""strategische-priorisierung"",""roadmap"",""priorisierungsmatrix""]";
begrenztes-risiko;Begrenztes Risiko;B;Recht & Regulatorik;Risikoklasse des EU AI Act für Systeme mit direkter Menschinteraktion, für die Transparenzpflichten gelten.;Risikoklasse des EU AI Act für Systeme mit direkter Menschinteraktion, für die Transparenzpflichten gelten.;Ein Kundenservice-Chatbot muss am Anfang klar kennzeichnen, dass die Nutzer mit einer KI und nicht mit einem Menschen schreiben.;"[""begrenztes Risiko"",""limitiertes Risiko"",""Limited Risk"",""geringes Risiko mit Transparenzpflicht""]";"[""risikoklassen-vier-stufen"",""transparenz-und-informationspflicht"",""hochrisiko-ki-system"",""minimales-risiko"",""kennzeichnungspflicht-ki-inhalte""]";
bert;BERT;B;Technik & Daten;Von Google entwickeltes Transformer-Sprachmodell, das Wörter aus ihrem beidseitigen Kontext interpretiert.;"BERT (Bidirectional Encoder Representations from Transformers) ist ein NLP-Modell von Google (2018), das auf der Transformer-Architektur basiert. Im Gegensatz zu früheren Modellen analysiert BERT Text bidirektional – es berücksichtigt gleichzeitig den Kontext vor und nach einem Wort.

Training: BERT nutzt Masked Language Model (MLM) – einige Wörter im Text werden maskiert, das Modell versucht sie anhand des Kontexts zu erraten – sowie Next Sentence Prediction (NSP). Nach dem Pretraining wird BERT durch Fine-Tuning für spezifische Aufgaben angepasst.

Anwendungen: Suchmaschinen (Google nutzt BERT für Suchanfragen), Frage-Antwort-Systeme, Textklassifikation (Spam-Filter, Sentiment-Analyse), maschinelle Übersetzung, Rechts- und Finanzanalyse. Weiterentwicklungen: RoBERTa, DistilBERT, ALBERT.";Eine Suchmaschine nutzt ein BERT-Modell, um die Absicht hinter einer Suchanfrage besser zu verstehen.;"[""BERT"",""Bidirectional Encoder Representations from Transformers""]";"[""transformer"",""natural-language-processing"",""large-language-model-grosses-sprachmodell"",""attention-aufmerksamkeit""]";https://ki-manager-methoden.lovable.app/glossar
betreiber-deployer;Betreiber (Deployer);B;Recht & Regulatorik;"Rolle im EU AI Act für denjenigen, der ein bestehendes KI-System im eigenen Kontext einsetzt; die meisten Unternehmen sind Betreiber.";"Rolle im EU AI Act für denjenigen, der ein bestehendes KI-System im eigenen Kontext einsetzt; die meisten Unternehmen sind Betreiber.";Ein Mittelständler setzt eine zugekaufte KI-Software zur Bewerberauswahl ein und ist damit Betreiber mit Aufsichtspflichten.;"[""Betreiber"",""Deployer"",""Betreiberrolle"",""Anwender"",""Nutzer im Sinne des EU AI Act""]";"[""anbieter-provider"",""anbieter-vs-betreiber"",""eu-ai-act-artikel-4"",""menschliche-aufsicht"",""regulatorische-verantwortung-nicht-auslagerbar""]";
betriebsrat-mitbestimmung;Betriebsrat / Mitbestimmung;B;Recht & Regulatorik;Gremium der Beschäftigtenvertretung, das bei der Einführung von KI-Systemen und Feedback-Kanälen frühzeitig einzubinden ist.;Gremium der Beschäftigtenvertretung, das bei der Einführung von KI-Systemen und Feedback-Kanälen frühzeitig einzubinden ist.;Vor Einführung eines KI-gestützten Systems zur Schichtplanung schließt ein Unternehmen mit dem Betriebsrat eine Betriebsvereinbarung, die Zweck, Datenumfang und Auswertungsgrenzen festlegt.;"[""Mitbestimmung"",""Betriebsrat"",""Personalvertretung"",""Mitbestimmungsrecht"",""codetermination""]";"[""betriebsratsrechte"",""change-management"",""stakeholder-einbindung"",""verbot-vollautomatisierter-personalentscheidungen"",""feedback-kanaele-formell-informell""]";
betriebsratsrechte;Betriebsratsrechte;B;Recht & Regulatorik;Mitbestimmungsrechte des Betriebsrats, die bei automatisierten Entscheidungen über Mitarbeitende früh einzubinden sind.;Mitbestimmungsrechte des Betriebsrats, die bei automatisierten Entscheidungen über Mitarbeitende früh einzubinden sind.;"Ein KI-Tool soll Krankheitsquoten je Abteilung auswerten; der Betriebsrat nutzt sein Mitbestimmungsrecht und verlangt eine anonymisierte Auswertung ohne Personenbezug.";"[""Mitbestimmungsrechte"",""Betriebsrat Rechte"",""Beteiligungsrechte"",""works council rights""]";"[""betriebsrat-mitbestimmung"",""verbot-vollautomatisierter-personalentscheidungen"",""bewerbungs-screening"",""menschliche-aufsicht""]";
betrugserkennung;Betrugserkennung;B;Tools & Anwendungen;Echtzeitanalyse von Transaktions- und Verhaltensmustern durch KI, die Auffälligkeiten markiert, während der Mensch die Entscheidung trifft.;Echtzeitanalyse von Transaktions- und Verhaltensmustern durch KI, die Auffälligkeiten markiert, während der Mensch die Entscheidung trifft.;"Eine Bank lässt jede Kartenzahlung durch ein KI-Modell prüfen; bei einer ungewöhnlichen Auslandszahlung wird die Transaktion gestoppt und einem Sachbearbeiter zur Freigabe vorgelegt.";"[""Fraud Detection"",""Betrugsprävention"",""Fraud-Detection"",""Betrugsabwehr"",""fraud detection""]";"[""betrugserkennung-in-echtzeit"",""anomalieerkennung"",""human-in-the-loop-hitl"",""mustererkennung"",""bonitaets-kreditrisikopruefung""]";
betrugserkennung-in-echtzeit;Betrugserkennung in Echtzeit;B;Technik & Daten;KI erkennt auffällige Muster in Transaktionen oder Schadensmeldungen sofort im Moment ihres Entstehens.;KI erkennt auffällige Muster in Transaktionen oder Schadensmeldungen sofort im Moment ihres Entstehens.;"Ein Versicherer prüft eingereichte Schadensmeldungen in Echtzeit; die KI markiert eine Meldung mit widersprüchlichen Angaben sofort zur genaueren Bearbeitung.";"[""Echtzeit-Betrugserkennung"",""Real-Time Fraud Detection"",""Fraud Detection in Echtzeit"",""Echtzeitbetrugserkennung""]";"[""betrugserkennung"",""anomalieerkennung"",""datenpipeline"",""mustererkennung""]";
bewegungsmusteranalyse;Bewegungsmusteranalyse;B;Technik & Daten;Computer-Vision-Analyse des Bewegungsverhaltens ohne Gesichtserkennung, die datenschutzrechtlich weniger kritisch ist als biometrische Identifikation.;Computer-Vision-Analyse des Bewegungsverhaltens ohne Gesichtserkennung, die datenschutzrechtlich weniger kritisch ist als biometrische Identifikation.;Ein Einzelhändler wertet per Kamera aus, welche Wege Kunden im Laden nehmen, ohne einzelne Personen zu erkennen, um die Regalplatzierung zu optimieren.;"[""Bewegungsanalyse"",""Verhaltensanalyse"",""Bewegungsmuster-Analyse"",""motion pattern analysis""]";"[""computer-vision"",""biometrische-identifikation"",""objekterkennung"",""anonymisierung-vs-pseudonymisierung""]";
bewerbungs-screening;Bewerbungs-Screening;B;Tools & Anwendungen;HR-Use-Case, bei dem KI Lebensläufe vorauswählt, während die finale Entscheidung wegen Bias-Risiko und EU AI Act beim Menschen bleibt.;HR-Use-Case, bei dem KI Lebensläufe vorauswählt, während die finale Entscheidung wegen Bias-Risiko und EU AI Act beim Menschen bleibt.;"Ein Konzern nutzt KI, um aus tausenden Bewerbungen eine Vorauswahl zu treffen; ein Recruiter prüft jede vorgeschlagene Absage, um systematische Benachteiligungen auszuschließen.";"[""Bewerber-Screening"",""CV-Screening"",""Resume Screening"",""Bewerbungsvorauswahl"",""Applicant Screening"",""Lebenslauf-Vorauswahl""]";"[""bias-verzerrung"",""hochrisiko-ki-system"",""human-in-the-loop-hitl"",""verbot-vollautomatisierter-personalentscheidungen"",""applicant-tracking-keyword-screening""]";
bias-verzerrung;Bias (Verzerrung);B;KI-Grundlagen;Systematische Verzerrung in Daten oder Modellen, die durch einseitige Trainingsdaten zu unfairen oder diskriminierenden Ergebnissen führen kann.;"Bias in der KI bezeichnet systematische Verzerrungen in Algorithmen, die bestimmte Gruppen oder Ergebnisse bevorzugen oder benachteiligen. Arten: Datenbias (Verzerrungen in Trainingsdaten), algorithmischer Bias (durch die Modellstruktur), Interaktionsbias (durch Nutzerverhalten).

Ursachen: unrepräsentative Trainingsdaten, historische Vorurteile in Daten, fehlerhafte Datenannotation, algorithmisches Design und Nutzerinteraktionen. Bekanntes Beispiel: Gesichtserkennungssoftware, die bei dunkleren Hauttönen schlechter funktioniert.

Warum Bias problematisch ist: Diskriminierung (z. B. in Kreditvergabe, Personalauswahl), Vertrauensverlust, rechtliche Risiken und ethische Bedenken. Gegenmaßnahmen: diverse Trainingsdaten, Bias-Tests, regelmäßige Audits und transparente Modellentwicklung.";Ein KI-Modell zur Kreditvergabe lehnt überdurchschnittlich viele Anträge aus einem bestimmten Stadtteil ab, weil die historischen Trainingsdaten diese Gruppe benachteiligt haben.;"[""Bias (systematische Verzerrung)"",""Bias"",""Bias (Verzerrung)"",""Bias / Bias-Test"",""Verzerrung"",""systematische Verzerrung"",""Voreingenommenheit"",""algorithmischer Bias""]";"[""bias-monitoring"",""bias-kontrolle-drei-hebel"",""diskriminierung"",""trainingsdaten"",""diversitaet-in-trainingsdaten"",""garbage-in-garbage-out""]";https://ki-manager-methoden.lovable.app/glossar
bias-kontrolle-drei-hebel;Bias-Kontrolle (drei Hebel);B;KI-Grundlagen;Umfassender Ansatz gegen Verzerrung aus Diversität in Trainingsdaten, externen Prüfinstanzen sowie Audits und Monitoring.;Umfassender Ansatz gegen Verzerrung aus Diversität in Trainingsdaten, externen Prüfinstanzen sowie Audits und Monitoring.;Ein Unternehmen führt für sein Scoring-Modell repräsentative Trainingsdaten ein, lässt es von einem Ethic Board freigeben und richtet ein vierteljährliches Bias-Audit ein.;"[""Bias-Kontrolle"",""drei Hebel gegen Bias"",""Bias-Reduktion"",""Verzerrungskontrolle""]";"[""bias-verzerrung"",""bias-monitoring"",""diversitaet-in-trainingsdaten"",""ethic-board"",""externe-pruefinstanzen"",""audit-vs-monitoring""]";
bias-monitoring;Bias-Monitoring;B;KI-Grundlagen;Laufende Überwachung, ob ein KI-System fair arbeitet, mit festen Prüfintervallen, Schwellenwerten und Eskalationswegen.;Laufende Überwachung, ob ein KI-System fair arbeitet, mit festen Prüfintervallen, Schwellenwerten und Eskalationswegen.;"Für ein Kredit-Scoring wird monatlich geprüft, ob die Ablehnungsquote zwischen Bevölkerungsgruppen auseinanderdriftet; ab einem definierten Schwellenwert wird eskaliert.";"[""Bias-Monitoring / Audits"",""Bias-Überwachung"",""Verzerrungsüberwachung"",""Bias Monitoring"",""Fairness-Monitoring""]";"[""bias-verzerrung"",""bias-kontrolle-drei-hebel"",""audit-vs-monitoring"",""modelldrift-konzeptdrift"",""hochrisiko-ki-system""]";
big-data;Big Data;B;Technik & Daten;Sehr große, schnell wachsende und vielfältige Datenmengen, die klassische Verarbeitung überfordern und spezielle Technologien erfordern.;"Big Data bezeichnet extrem große und komplexe Datensätze, die mit herkömmlichen Methoden nicht effizient verarbeitet werden können. Charakterisiert durch die 5 Vs: Volumen (enorme Datenmenge), Velocity (hohe Verarbeitungsgeschwindigkeit), Variety (verschiedene Datenformen), Veracity (Zuverlässigkeit) und Value (Nutzenwert).

Technologien: Hadoop und Spark (verteilte Verarbeitung), Cloud-Plattformen (AWS, Google Cloud, Azure), NoSQL-Datenbanken, Real-Time-Processing-Frameworks. Der Prozess umfasst Datengewinnung, -aufbereitung, Speicherung, Verarbeitung und Analyse.

Anwendungen: Marketing/Personalisierung, Gesundheitswesen (Patientendatenanalyse), Finanzen (Betrugserkennung), Energie (Smart Grids), Logistik (Lieferketten), Umweltüberwachung. Big Data ist die Grundlage für moderne KI-Anwendungen und datengetriebene Entscheidungen.";Ein Logistikkonzern sammelt Sensordaten aus tausenden Fahrzeugen, um daraus Vorhersagen zu Wartung und Auslastung abzuleiten.;"[""Massendaten"",""Big-Data"",""große Datenmengen"",""Big Data Analytics""]";"[""data-mining"",""datengetriebene-entscheidungen"",""maschinelles-lernen"",""datenverfuegbarkeit"",""data-governance""]";https://ki-manager-methoden.lovable.app/glossar
